# Tag | Avg latency (ms) | 5-th percentile latency (ms) | 25-th percentile latency (ms) | 50-th percentile latency (ms) | 75-th percentile latency (ms) | 95-th percentile latency (ms) | Throughput (tps) | Effective length (s)
rate-10000-lat-10-160-bw-1000-4bg-run-1 | 98155.17448287673 | 30765.918339 | 52397.260313 | 96111.699668 | 145765.073514 | 176001.026528 | 63413.59529465315 | 266.0537369251251
rate-10000-lat-10-160-bw-1000-4bg-run-2 | 99803.60081595341 | 36046.087318 | 68236.883315 | 110253.908271 | 132893.150472 | 144509.98483 | 84317.29839521005 | 263.1006498336792
rate-10000-lat-10-160-bw-1000-4bg-run-3 | 76015.92240612251 | 29468.320891 | 55522.90662 | 73479.420483 | 99529.182354 | 119345.37836 | 91537.22279569833 | 267.2280330657959
rate-10000-lat-10-160-bw-1000-4bg-run-4 | 91349.19196733875 | 28062.432336 | 48733.072674 | 89157.030125 | 133898.145832 | 156714.525051 | 74543.71201109317 | 261.5506992340088
rate-10000-lat-10-160-bw-1000-4bg-run-5 | 87659.28562072791 | 33507.205844 | 69507.083416 | 86393.112182 | 109487.016527 | 132882.148429 | 91352.76543286092 | 257.36538887023926
rate-10000-lat-10-160-bw-1000-4bg-run-6 | 90269.89673663401 | 39023.331794 | 55930.647957 | 84403.79385 | 122190.244077 | 155407.103898 | 78193.26248202703 | 267.36298418045044
rate-10000-lat-10-80-bw-1000-4bg-baseline-run-1 | 72699.19303441723 | 31555.207639 | 55277.964517 | 73586.089868 | 94154.839318 | 109759.698089 | 100973.42054719337 | 272.67880845069885
rate-10000-lat-10-80-bw-1000-4bg-baseline-run-2 | 64291.08170248674 | 27452.579708 | 49575.362917 | 63011.199105 | 77330.58564 | 106014.367881 | 102003.35877110292 | 272.17425322532654
rate-10000-lat-10-80-bw-1000-4bg-baseline-run-3 | 63119.148847606506 | 27315.034226 | 47626.609439 | 60390.028818 | 80211.673492 | 104704.060766 | 103388.24939179662 | 272.4506137371063
rate-10000-lat-10-80-bw-1000-4bg-baseline-run-4 | 71646.92819081529 | 27741.574078 | 45978.735557 | 63666.619961 | 99678.470506 | 122819.137623 | 93248.14859331567 | 272.6035463809967
rate-10000-lat-10-80-bw-1000-4bg-baseline-run-5 | 67945.70342040475 | 23113.49167 | 53710.331073 | 69451.025177 | 87703.108417 | 102007.269111 | 105821.8774964324 | 272.6102454662323
rate-10000-lat-10-80-bw-1000-4bg-baseline-run-6 | 69868.73926636009 | 24313.139845 | 44311.910541 | 67774.196867 | 91554.792299 | 117216.144618 | 95745.81831582246 | 272.72209334373474
rate-10000-lat-10-80-bw-1000-4bg-run-1 | 61012.72788767923 | 17881.420354 | 42771.617922 | 60215.21008 | 78941.861147 | 108300.973375 | 100568.90901635599 | 267.17760252952576
rate-10000-lat-10-80-bw-1000-4bg-run-2 | 67194.18754204342 | 19338.989204 | 39353.756664 | 74026.505345 | 93866.634469 | 104988.778768 | 105016.75701288928 | 267.7186460494995
rate-10000-lat-10-80-bw-1000-4bg-run-3 | 66901.61112085165 | 19027.644148 | 35007.760632 | 60207.758043 | 98029.655803 | 128809.780839 | 86178.2353619223 | 269.0164158344269
rate-10000-lat-10-80-bw-1000-4bg-run-4 | 60938.21324918184 | 19273.977169 | 38866.002798 | 65779.78993 | 81902.416315 | 96838.209489 | 108083.19419271448 | 269.1804976463318
rate-10000-lat-10-80-bw-1000-4bg-run-5 | 65018.3210644457 | 18275.023487 | 37801.749916 | 65412.597785 | 96068.979871 | 108006.695279 | 101253.32814638971 | 270.2259817123413
rate-10000-lat-10-80-bw-1000-4bg-run-6 | 79407.56243726316 | 16841.3342 | 42735.215182 | 83994.468625 | 115679.09966 | 131946.921476 | 88772.32444257358 | 269.8296811580658
rate-2000-lat-10-100-bw-100-4bg-baseline-run-1 | 65529.292631669385 | 30453.094781 | 49969.687967 | 63763.740783 | 77457.391743 | 110169.363956 | 21418.931621243446 | 275.94877767562866
rate-2000-lat-10-100-bw-100-4bg-baseline-run-2 | 69838.50409753554 | 29785.54987 | 54742.986096 | 70867.613044 | 85776.658948 | 103444.856433 | 22491.70641910673 | 273.34946870803833
rate-2000-lat-10-100-bw-100-4bg-baseline-run-3 | 57736.435418361456 | 32276.302642 | 45974.628206 | 56753.649056 | 67584.084762 | 88295.183591 | 21990.27741749956 | 271.0143163204193
rate-2000-lat-10-100-bw-100-4bg-baseline-run-4 | 61891.107624615004 | 24316.219245 | 48416.728719 | 61797.328975 | 76356.393137 | 96381.063831 | 22990.37532430629 | 280.960702419281
rate-2000-lat-10-100-bw-100-4bg-baseline-run-5 | 67386.79739079348 | 27207.722719 | 54798.332832 | 68167.375105 | 80535.954005 | 99695.609842 | 24705.159758450965 | 268.9200177192688
rate-2000-lat-10-100-bw-100-4bg-baseline-run-6 | 63758.88288288892 | 30807.978992 | 51120.377568 | 63220.144388 | 76317.888655 | 97614.718419 | 22868.372020305047 | 270.81735396385193
rate-2000-lat-10-100-bw-100-4bg-run-1 | 9909.77453500879 | 4229.81236 | 5812.707005 | 7529.335424 | 13215.365354 | 22788.577783 | 32811.322275595034 | 269.6435067653656
rate-2000-lat-10-100-bw-100-4bg-run-2 | 12714.710658574662 | 3740.777428 | 5266.947584 | 7025.414258 | 20430.795321 | 32534.472451 | 32869.48092488515 | 268.6679482460022
rate-2000-lat-10-100-bw-100-4bg-run-3 | 13302.44554672901 | 7069.565859 | 9471.377042 | 12587.023602 | 16097.42743 | 22385.23175 | 31103.482252382186 | 270.22672033309937
rate-2000-lat-10-100-bw-100-4bg-run-4 | 7287.899800134254 | 3482.600498 | 4540.801159 | 6186.337827 | 10039.132393 | 13601.137072 | 32176.903514581893 | 268.34055042266846
rate-2000-lat-10-100-bw-100-4bg-run-5 | 7772.861051883241 | 3878.753062 | 4890.849908 | 6617.377439 | 10214.621193 | 14663.072806 | 33151.64564825674 | 269.8407220840454
rate-2000-lat-10-100-bw-100-4bg-run-6 | 7213.46280256577 | 3704.828682 | 4706.941939 | 6415.024986 | 8850.763141 | 14628.510055 | 33124.01801599464 | 265.1195273399353
rate-2000-lat-10-100-bw-1000-4bg-baseline-run-1 | 3873.9507871006067 | 2178.097053 | 2746.75846 | 3325.80385 | 4636.52058 | 7276.170143 | 32661.316309067675 | 271.7597758769989
rate-2000-lat-10-100-bw-1000-4bg-baseline-run-2 | 4190.287081408102 | 2302.017997 | 2886.820972 | 3478.108775 | 4925.608032 | 8232.915999 | 32279.99275077435 | 272.68605875968933
rate-2000-lat-10-100-bw-1000-4bg-baseline-run-3 | 3551.739774944516 | 2195.438463 | 2725.806176 | 3219.104778 | 4199.927542 | 5720.59337 | 32183.786950736794 | 272.99211287498474
rate-2000-lat-10-100-bw-1000-4bg-baseline-run-4 | 3549.9997271651823 | 2129.073776 | 2687.575982 | 3216.434204 | 4287.039822 | 5846.162264 | 32111.35874193696 | 271.82206988334656
rate-2000-lat-10-100-bw-1000-4bg-baseline-run-5 | 3592.4843376169974 | 2141.531749 | 2679.597329 | 3161.900016 | 4362.784752 | 6190.273888 | 32213.99813714054 | 272.2274944782257
